Name	Set	Imagefile	Number	Type	Affiliation	Offense	Cost	Ilustrador	Skills	Bloque	Edicion	Rework
Dragon Cobrizo	espada_sagrada	23	23	Aliado	Dragon	2	3	MAURICIO HERRERA	En tu fase de vigilia, genera 2 oros para bajar Dragones.	Primer Bloque	Espada Sagrada	
Dragon de Bronce	espada_sagrada	24	24	Aliado	Dragon	3	4	MAURICIO HERRERA	Cuando Dragón de Bronce sea declarado atacante, debe ser bloqueado por un Aliado oponente a tu elección.	Primer Bloque	Espada Sagrada	
Kernuac El Cazador	espada_sagrada	25	25	Aliado	Dragon	3	4	MAURICIO HERRERA	En tu fase de vigilia, puedes destruir a Kernuac, El Cazador, para buscar 2 cartas del mazo castillo oponente y desterrarlas.	Primer Bloque	Espada Sagrada	
Dragon Nube	espada_sagrada	26	26	Aliado	Dragon	3	4	JUAN VÁSQUEZ	Cuando Dragón Nube entra en juego, puedes elegir entre robar 2 cartas o que tu oponente bote 2.	Primer Bloque	Espada Sagrada	
Basoon	espada_sagrada	27	27	Aliado	Dragon	1	3	MAURICIO HERRERA	Mientras Basoon esté en juego, cada vez que bajes un Dragón, tu oponente bota 1 carta.	Primer Bloque	Espada Sagrada	
Oberon	espada_sagrada	28	28	Aliado	Faerie	1	4	JUAN VÁSQUEZ	Solo puedes tener un Oberon en juego. En tu fase de vigilia y una vez por turno, puedes pagar el coste de un Aliado oponente y destruirlo.	Primer Bloque	Espada Sagrada	
Titania	espada_sagrada	29	29	Aliado	Faerie	1	4	JUAN VÁSQUEZ	Mientras Titania esté en juego, tus demás Faeries ganan + 1 a la fuerza y pueden atacar cuando entran en juego.	Primer Bloque	Espada Sagrada	
Mago Merlin	espada_sagrada	30	30	Aliado	Faerie	3	4	MAURICIO HERRERA	Mientras Mago Merlín esté en juego: en guerra de Talismanes, puedes pagar 3 de oro para buscar un Talismán en tu mazo castillo o cementerio y ponerlo en tu mano.	Primer Bloque	Espada Sagrada	
Mordred	espada_sagrada	31	31	Aliado	Faerie	2	3	MAURICIO HERRERA	Si Mordred es declarado atacante, debe ser bloqueado por un Aliado oponente a tu elección.	Primer Bloque	Espada Sagrada	
Morgana	espada_sagrada	32	32	Aliado	Faerie	2	4	MAURICIO HERRERA	Solo puedes tener una Morgana en juego. En tu fase de vigilia y una vez por turno, puedes destruir uno de tus aliados para desterrar un aliado oponente.	Primer Bloque	Espada Sagrada	
Belial el Bestial	espada_sagrada	33	33	Aliado	Faerie	3	4	MAURICIO HERRERA	Belial, El Bestial, gana + 1 a la fuerza por cada faerie que tengas en juego.	Primer Bloque	Espada Sagrada	
La Dama del Lago	espada_sagrada	34	34	Aliado	Faerie	1	4	WALDO RETAMALES	Cuando La Dama del Lago entra en juego, puedes buscar un arma en tu mazo castillo o cementerio y ponerla en juego sin pagar su coste.	Primer Bloque	Espada Sagrada	
Alto Druida	espada_sagrada	35	35	Aliado	Faerie	4	2	VENUS ASTUDILLO	Alto Druida sólo puede bloquear.	Primer Bloque	Espada Sagrada	
Las Tres Hermanas	espada_sagrada	36	36	Aliado	Faerie	1	3	GABRIEL RODRÍGUEZ	En guerra de Talismanes y una vez por turno, puedes pagar 2 de oro para que un aliado en juego vuelva a la mano.	Primer Bloque	Espada Sagrada	
El Poeta	espada_sagrada	37	37	Aliado	Faerie	2	3	GABRIEL RODRÍGUEZ	Cuando entra en juego, nombra una carta y ésta no puede ser bajada mientras El Poeta esté en juego.	Primer Bloque	Espada Sagrada	
Puck	espada_sagrada	38	38	Aliado	Faerie	2	4	GABRIEL RODRÍGUEZ	En guerra de Talismanes y una vez por turno, puedes pagar 1 de oro para que un Aliado oponente no pueda bloquear o atacar durante esté turno.	Primer Bloque	Espada Sagrada	
Each Usige	espada_sagrada	39	39	Aliado	Faerie	2	3	JUAN VÁSQUEZ	En tu fase de vigilia y una vez por turno, puedes pagar el coste de una carta en tu cementerio para barajarla en tu mazo castillo.	Primer Bloque	Espada Sagrada	
Ellyllon	espada_sagrada	40	40	Aliado	Faerie	2	4	WALDO RETAMALES	Cada vez que Ellyllon entre o salga del juego, tu oponente bota 2 cartas.	Primer Bloque	Espada Sagrada	
Plaga	espada_sagrada	41	41	Talisman			5	MAURICIO HERRERA	Destruye dos Aliados oponentes.	Primer Bloque	Espada Sagrada	
La Traicion de Lancelot	espada_sagrada	42	42	Talisman			3	MAURICIO HERRERA	Destruye uno de tus Aliados para que tu oponente bote tantas cartas como fuerza tenga el Aliado.	Primer Bloque	Espada Sagrada	
¡Desleal!	espada_sagrada	43	43	Talisman			3	JUAN VÁSQUEZ	Destierra un Aliado oponente.	Primer Bloque	Espada Sagrada	
Bola de Fuego	espada_sagrada	44	44	Talisman			2	WALDO RETAMALES	Destruye una carta en juego, que no sea un oro.	Primer Bloque	Espada Sagrada	
Transmutacion	espada_sagrada	45	45	Talisman			3	MAURICIO HERRERA	En tu fase de vigilia y hasta el final del turno, tus Tótem pierden su habilidad y se consideran Aliados. En tu fase de ataque pueden ser declarados atacantes, con fuerza igual a su coste.	Primer Bloque	Espada Sagrada	
Fe sin Limite	espada_sagrada	46	46	Talisman			1	ANDRÉS SILVA	Fe sin Límites puede ser jugada, en cualquier momento, para anular un Talismán.	Primer Bloque	Espada Sagrada	
Dragon Dorado	espada_sagrada	47	47	Talisman			0	CHAMÁN	Dragón Dorado puede ser jugado en cualquier momento para anular una carta. Carta Única.	Primer Bloque	Espada Sagrada	
Cuna de Dragones	espada_sagrada	48	48	Talisman			3	MAURICIO HERRERA	Busca 2 cartas en tu cementerio y barájalas con tu mazo castillo. Puedes robar 1 carta.	Primer Bloque	Espada Sagrada	
La Mirada de Mordred	espada_sagrada	49	49	Talisman			2	MAURICIO HERRERA	En respuesta a declarar tu bloqueo, tus Aliados en línea de ataque vuelven a la línea de defensa y pueden ser declarados bloqueadores.	Primer Bloque	Espada Sagrada	
Santo Grial	espada_sagrada	50	50	Talisman			1	MAURICIO HERRERA	En respuesta a que una de tus cartas en juego sea destruida, juega a Santo Grial para subirla a la mano.	Primer Bloque	Espada Sagrada	
Una	espada_sagrada	51	51	Talisman			4	WALDO RETAMALES	Juega a Una en guerra de Talismanes. Los jugadores descartan de su mano y roban la misma cantidad que tenían. Los 2 siguientes turnos no pueden declarar ataque.	Primer Bloque	Espada Sagrada	
Capa de Invisibilidad	espada_sagrada	52	52	Talisman			2	MAURICIO HERRERA	En respuesta a que tu oponente baje una carta, ésta es barajada en su mazo castillo. Esta habilidad no afecta a los oros.	Primer Bloque	Espada Sagrada	
Ataque Sorpresa	espada_sagrada	53	53	Talisman			2	ABBAY	En respuesta a resolver el daño, juega Ataque Sorpresa para que tu oponente reciba el mismo daño hecho a tu mazo castillo por uno de sus Aliados.	Primer Bloque	Espada Sagrada	
Aulladores Blancos	espada_sagrada	54	54	Talisman			2	WALDO RETAMALES	En respuesta a que una de tus cartas sea destruida, destruye una carta oponente del mismo tipo.	Primer Bloque	Espada Sagrada	
Ataque de Aliento	espada_sagrada	55	55	Talisman			3	WALDO RETAMALES	En respuesta a resolver el daño, juega Ataque de Aliento para que tu oponente reciba el mismo daño hecho a tu mazo castillo.	Primer Bloque	Espada Sagrada	
La Espada en la Piedra	espada_sagrada	56	56	Talisman			2	MAURICIO HERRERA	Si el Rey Arturo Pendragón no esta en juego, los Caballeros no pueden atacar en los 2 siguientes turnos.	Primer Bloque	Espada Sagrada	
Atraer la Tormenta	espada_sagrada	57	57	Talisman			1	GABRIEL RODRÍGUEZ	Anula una carta oponente, a menos que éste bote 3 cartas. Atraer la Tormenta no afecta a los oros.	Primer Bloque	Espada Sagrada	
Barco	espada_sagrada	58	58	Talisman			2	GABRIEL RODRÍGUEZ	Juega Barco en tu fase de vigilia, si tienes a Merlín en juego tus faeries son imbloqueables hasta el final del turno	Primer Bloque	Espada Sagrada	
Caballo Lunar	espada_sagrada	59	59	Talisman			4	WALDO RETAMALES	Mira la mano de tu oponente y descarta todos los aliados que tenga.	Primer Bloque	Espada Sagrada	
Stonehage	espada_sagrada	60	60	Totem			4	WALDO RETAMALES	Mientras Stonhage esté en juego, los oros en juego pierden sus habilidades.	Primer Bloque	Espada Sagrada	
Totem Maldito	espada_sagrada	61	61	Totem			5	MAURICIO HERRERA	En respuesta a un ataque oponente y sólo una vez por turno, puedes eligir un Aliado en su línea de defensa para bloquear su ataque. Si no es destruido, al final del turno devuélvelo a la línea de defensa del oponente.	Primer Bloque	Espada Sagrada	
Totem de Fe	espada_sagrada	62	62	Totem			3	WALDO RETAMALES	Mientras Tótem de Fe esté en juego, en guerra de Talismanes, cada jugador sólo puede jugar un Talismán.	Primer Bloque	Espada Sagrada	
Totem de Runas Elficas	espada_sagrada	63	63	Totem			6	MAURICIO HERRERA	En respuesta a declarar tu ataque y sólo una vez por turno, puedes eligir un Aliado oponente y ponerlo en tu Línea de ataque. Si no es destruido, al final del turno devuélvelo a la línea de defensa del oponente.	Primer Bloque	Espada Sagrada	
Totem de la Ultima Cancion	espada_sagrada	64	64	Totem			3	JUAN VÁSQUEZ	En tu fase de vigilia y una vez por turno, puedes pagar 2 de oro para buscar un Tótem en tu mazo castillo y ponerlo en tu mano.	Primer Bloque	Espada Sagrada	
Woodhage	espada_sagrada	65	65	Totem			3	JUAN VÁSQUEZ	Mientras Woodhage esté en juego, bajar Tótem cuesta + 1 oro .	Primer Bloque	Espada Sagrada	
El Circulo Eterno	espada_sagrada	66	66	Totem			3	MAURICIO HERRERA	Mientras esté en juego, todas las cartas se consideran Carta Única. Cuando El Círculo Eterno entra en juego y si algún jugador tiene 2 o más copias de una carta, debe dejar sólo una en juego y las demás destruirlas. esté Tótem no afecta cartas oro.	Primer Bloque	Espada Sagrada	
Excalibur	espada_sagrada	67	67	Arma			3	MAURICIO HERRERA	Sólo puede ser portada por Rey Arturo Pendragón. Gana + 3 a la fuerza. En tu fase de vigilia y una vez por turno, puedes descartar 1 para que gane un bono de fuerza igual al coste en oro de la carta descartada.	Primer Bloque	Espada Sagrada	
Espada de Cristal	espada_sagrada	68	68	Arma			2	MAURICIO HERRERA	Su portador sólo puede ser un Faerie. Si tu oponente juega un Talismán, en respuesta puedes destruir Espada de Cristal para anularlo.	Primer Bloque	Espada Sagrada	
Escudo Sidhe	espada_sagrada	69	69	Arma			2	MAURICIO HERRERA	Cuando el portador de Escudo Sidhe bloquea, no puede ser destruido hasta el final del turno.	Primer Bloque	Espada Sagrada	
Malla de Mitril	espada_sagrada	70	70	Arma			4	MAURICIO HERRERA	Sólo puede ser portada por un Dragón. Gana + 2 a la fuerza y no puede ser destruido por Talismanes.	Primer Bloque	Espada Sagrada	
La Lanza de los Dioses	espada_sagrada	71	71	Arma			3	MAURICIO HERRERA	Su portador gana + 4 a la fuerza. En respuesta a finalizar tu turno y si el portador no fue destruido en batalla mitológica, agrúpalo a línea de defensa y destierra La Lanza de Los Dioses.	Primer Bloque	Espada Sagrada	
Armadura del Sol	espada_sagrada	72	72	Arma			3	MAURICIO HERRERA	Por cada Talismán jugado en guerra de Talismanes, el portador de La Armadura del Sol gana + 1 a la fuerza hasta el final del turno.	Primer Bloque	Espada Sagrada	
Espada Dragon	espada_sagrada	73	73	Arma			4	MAURICIO HERRERA	Su portador debe ser un Dragón. Gana + 2 a la fuerza. En tu fase de vigilia, destierra Espada Dragón para anular la habilidad de una carta en juego hasta el final del turno.	Primer Bloque	Espada Sagrada	
Llewelyn, Voz de Plata	espada_sagrada	74	74	Aliado	Caballero	2	3	VENUS ASTUDILLO	Cuando Llewelyn voz de plata entra en juego, elige un Aliado oponente y súbelo a su mano.	Primer Bloque	Espada Sagrada	
Sir Owen	espada_sagrada	75	75	Aliado	Caballero	2	3	ANDRÉS SILVA	Cuando Sir Owen entra en juego, roba 3 cartas y descarta 2.	Primer Bloque	Espada Sagrada	
Lady Rachel	espada_sagrada	76	76	Aliado	Caballero	1	3	MAURICIO HERRERA	Puedes desterrar a Lady Rachel para destruir un Dragón oponente.	Primer Bloque	Espada Sagrada	
Sir Gabriel	espada_sagrada	77	77	Aliado	Caballero	1	2	VENUS ASTUDILLO	Sir Gabriel gana + 1 a la fuerza, por cada carta que tengas en tu zona de destierro.	Primer Bloque	Espada Sagrada	
Isolda	espada_sagrada	78	78	Aliado	Caballero	1	2	WALDO RETAMALES	En respuesta a la destrucción de uno de tus Caballeros, puedes desterrar a Isolda para salvarlo.	Primer Bloque	Espada Sagrada	
Lord Fergus Macloud	espada_sagrada	79	79	Aliado	Caballero	4	2	WALDO RETAMALES	Sólo puede atacar si descartas 3.	Primer Bloque	Espada Sagrada	
Sir Wesley	espada_sagrada	80	80	Aliado	Caballero	4	4	MAURICIO HERRERA	Sir Wesley no puede portar armas.	Primer Bloque	Espada Sagrada	
Sir Badallor	espada_sagrada	81	81	Aliado	Caballero	2	4	ANDRÉS SILVA	Si porta un arma, puede bloquear 2 Aliados.	Primer Bloque	Espada Sagrada	
Loth	espada_sagrada	82	82	Aliado	Caballero	2	3	MAURICIO HERRERA	Si Loth es tu único Aliado declarado atacante, no se pueden jugar Talismanes hasta el final del turno.	Primer Bloque	Espada Sagrada	
Sir Baldwin	espada_sagrada	83	83	Aliado	Caballero	1	2	MAURICIO HERRERA	Si es destruido, puedes ver las 3 cartas superiores de tu mazo castillo y devolverlas en el orden que quieras.	Primer Bloque	Espada Sagrada	
Sir Lionel	espada_sagrada	84	84	Aliado	Caballero	2	3	MAURICIO HERRERA	En respuesta a finalizar tu turno, si Sir Lionel está en línea de ataque puedes agruparlo.	Primer Bloque	Espada Sagrada	
Sir Hector	espada_sagrada	85	85	Aliado	Caballero	2	3	GABRIEL RODRÍGUEZ	Cuando Sir Héctor entra en juego, tu oponente descarta 1.	Primer Bloque	Espada Sagrada	
Sir Sagregor	espada_sagrada	86	86	Aliado	Caballero	8	6	MAURICIO HERRERA	Sir Sagregor no puede portar armas.	Primer Bloque	Espada Sagrada	
Dragon Montaña	espada_sagrada	87	87	Aliado	Dragon	5	3	JUAN VÁSQUEZ	Si Dragón Montaña ataca, debe ser destruido al final del turno.	Primer Bloque	Espada Sagrada	
Tortuga Dragon	espada_sagrada	88	88	Aliado	Dragon	1	2	WALDO RETAMALES	Tortuga Dragón puede atacar cuando entra en juego.	Primer Bloque	Espada Sagrada	
Dragon Espia	espada_sagrada	89	89	Aliado	Dragon	2	3	JUDEH	Si Dragón Espía hace daño al mazo castillo oponente, puedes ver su mano.	Primer Bloque	Espada Sagrada	
Darg, El Semi Dragon	espada_sagrada	90	90	Aliado	Dragon	2	4	MAURICIO HERRERA	En tu fase de vigilia y hasta 3 veces por turno, puedes pagar 1 de oro para que Darg, El Semi Dragón, gane + 1 a la fuerza hasta el final del turno.	Primer Bloque	Espada Sagrada	
Org, el Hechicero	espada_sagrada	91	91	Aliado	Dragon	0	2	MAURICIO HERRERA	En guerra de Talismanes, puedes pagar 2 de oro para que un Aliado oponente tenga fuerza O hasta el final del turno.	Primer Bloque	Espada Sagrada	
Dragon Negro	espada_sagrada	92	92	Aliado	Dragon	2	4	JUAN VÁSQUEZ	Todos los Caballeros ganan -1 a la fuerza, mientras Dragón Negro esté en juego.	Primer Bloque	Espada Sagrada	
Dragon Nival	espada_sagrada	93	93	Aliado	Dragon	3	4	WALDO RETAMALES	Cuando Dragón Nival entra en juego, deben ser destruidos todos los Aliados de fuerza 2 o menos.	Primer Bloque	Espada Sagrada	
Dragon de Mercurio	espada_sagrada	94	94	Aliado	Dragon	1	4	GABRIEL RODRÍGUEZ	En guerra de Talismanes, gana + 1 a la fuerza por cada Dragón que esté en tu cementerio.	Primer Bloque	Espada Sagrada	
Monta Dragones	espada_sagrada	95	95	Aliado	Dragon	2	3	MAURICIO HERRERA	Si es destruido, tu oponente debe botar tantas cartas como fuerza tenga Monta Dragones.	Primer Bloque	Espada Sagrada	
Wyvern	espada_sagrada	96	96	Aliado	Dragon	2	3	CARLOS HERRERA	La carta que destruya a Wyvern debe ser desterrada.	Primer Bloque	Espada Sagrada	
Draco Esmeralda	espada_sagrada	97	97	Aliado	Dragon	1	3	MAURICIO HERRERA	Cuando Draco Esmeralda entra en juego, puedes buscar un Faerie en tu mazo castillo y ponerlo en tu mano.	Primer Bloque	Espada Sagrada	
Draco Conjurador	espada_sagrada	98	98	Aliado	Dragon	2	3	WALDO RETAMALES	Cuando Draco Conjurador entra en juego, puedes buscar un oro normal en tu mazo castillo y ponerlo en tu mano.	Primer Bloque	Espada Sagrada	
Serpentino	espada_sagrada	99	99	Aliado	Dragon	2	3	MAURICIO HERRERA	En guerra de Talismanes, puedes pagar 1 oro para que un Aliado oponente gane -1 a la fuerza hasta el final del turno.	Primer Bloque	Espada Sagrada	
Mulvan, el Dragon	espada_sagrada	100	100	Aliado	Dragon	2	2	ALEJANDRO ROJAS	En guerra de Talismanes, Mulvan, El Dragón puede duplicar su fuerza. Al final de esté turno, destiérralo.	Primer Bloque	Espada Sagrada	
Lord Elfo	espada_sagrada	101	101	Aliado	Faerie	1	3	GABRIEL RODRÍGUEZ	Gana + 1 a la fuerza, por cada Faerie que tengas en juego.	Primer Bloque	Espada Sagrada	
Lady Shee'Dia	espada_sagrada	102	102	Aliado	Faerie	2	3	WALDO RETAMALES	Cuando Lady Shee' Dia entra en juego, puedes buscar a Sir Galahad en tu mazo castillo y ponerlo en tu mano.	Primer Bloque	Espada Sagrada	
GreenKnight	espada_sagrada	103	103	Aliado	Faerie	0	3	JUAN VÁSQUEZ	Gana + 1 a la fuerza, por cada oro que tengas en juego.	Primer Bloque	Espada Sagrada	
Bruja Anis	espada_sagrada	104	104	Aliado	Faerie	1	2	ANDRÉS SILVA	En respuesta a finalizar tu turno y si todos tus aliados son Faeries, roba 1 carta extra.	Primer Bloque	Espada Sagrada	
Banshee	espada_sagrada	105	105	Aliado	Faerie	2	3	VENUS ASTUDILLO	Cuando entra en juego, puedes eligir un Aliado oponente para que no pueda atacar mientras Banshee esté en juego.	Primer Bloque	Espada Sagrada	
Pooka	espada_sagrada	106	106	Aliado	Faerie	2	4	ANDRÉS SILVA	Cuando Pooka entra en juego, puedes buscar hasta 3 Faeries en tu cementerio y barájarlos en tu mazo castillo.	Primer Bloque	Espada Sagrada	
Elfo Oscuro	espada_sagrada	107	107	Aliado	Faerie	1	2	JUAN VÁSQUEZ	Cuando Elfo Oscuro entra en juego, roba 1 carta.	Primer Bloque	Espada Sagrada	
Nixx	espada_sagrada	108	108	Aliado	Faerie	1	2	JUAN VÁSQUEZ	Cuando Nixx porta un arma, gana +2 a la fuerza.	Primer Bloque	Espada Sagrada	
Lobos de Avalon	espada_sagrada	109	109	Aliado	Faerie	2	3	WALDO RETAMALES	Cuando Lobos de Ávalon entra en juego, puedes buscar otro Lobos de Avalon en tu mazo castillo y ponerlo en tu mano.	Primer Bloque	Espada Sagrada	
Pixie	espada_sagrada	110	110	Aliado	Faerie	1	2	JUAN VÁSQUEZ	En tu fase de vigilia y sólo si tienes a Morgana en juego, puedes elegir entre robar 3 cartas o buscar 2 en tu cementerio y barajarlas en tu mazo castillo.	Primer Bloque	Espada Sagrada	
Kelpie	espada_sagrada	111	111	Aliado	Faerie	1	2	WALDO RETAMALES	Cuando Kelpie entra en juego, uno de tus Dragones gana + 2 a la fuerza permanente y durante esté turno se considera imbloqueable.	Primer Bloque	Espada Sagrada	
Bane	espada_sagrada	112	112	Aliado	Faerie	1	4	MAURICIO HERRERA	Cuando Bane entra en juego puedes elegir, de tu oponente, un oro con habilidad para que lo baraje en su mazo castillo.	Primer Bloque	Espada Sagrada	
Ettin	espada_sagrada	113	113	Aliado	Faerie	3	4	ABBAY	En respuesta a que Ettin sea declarado atacante, puedes buscar un Aliado de fuerza 2 en tu mazo castillo y ponerlo en la línea de defensa sin pagar su coste.	Primer Bloque	Espada Sagrada	
San Jorge y el Dragon	espada_sagrada	114	114	Talisman			2	JUAN VÁSQUEZ	Por cada Dragón de tu oponente, un Aliado gana + 1 de fuerza hasta el final del turno.	Primer Bloque	Espada Sagrada	
Cuatro Fuertes Vientos	espada_sagrada	115	115	Talisman			3	VENUS ASTUDILLO	En respuesta a un ataque, es destruido el Aliado oponente de mayor fuerza.	Primer Bloque	Espada Sagrada	
Misil Magico	espada_sagrada	116	116	Talisman			2	MAURICIO HERRERA	En guerra de Talismanes, elige entre robar 2 cartas o que un Aliado gane + 2 a la fuerza hasta el final del turno.	Primer Bloque	Espada Sagrada	
Flecha Acida	espada_sagrada	117	117	Talisman			2	MAURICIO HERRERA	Destruye un Aliado oponente de fuerza 2 o menor. Luego roba 1 carta.	Primer Bloque	Espada Sagrada	
Congelar	espada_sagrada	118	118	Talisman			1	MAURICIO HERRERA	Aliado oponente pierde su habilidad hasta el final del turno. En respuesta a un ataque, un	Primer Bloque	Espada Sagrada	
Nombrado Caballero	espada_sagrada	119	119	Talisman			2	VENUS ASTUDILLO	Todos tus aliados son Caballeros hasta el final del turno.	Primer Bloque	Espada Sagrada	
Estampida	espada_sagrada	120	120	Talisman			1	WALDO RETAMALES	En respuesta a finalizar tu turno, juega Estampida. Un Aliado oponente a elección debe atacar en el próximo turno. Si esté no ataca es destruido.	Primer Bloque	Espada Sagrada	
Cuna de Gusanos	espada_sagrada	121	121	Talisman			3	JUAN VÁSQUEZ	En respuesta a que uno de tus aliados sea destruido, baraja de tu cementerio a tu mazo castillo tantas cartas como fuerza tenga ese aliado.	Primer Bloque	Espada Sagrada	
Pergamino Magico	espada_sagrada	122	122	Talisman			2	ABBAY	Busca un Talismán en tu mazo castillo y ponlo en tu mano. Tu oponente puede botar 3 cartas para anular Pergamino Mágico.	Primer Bloque	Espada Sagrada	
La Piedra de los Sueños	espada_sagrada	123	123	Talisman			2	MAURICIO HERRERA	Busca dos armas en tu mazo castillo y ponlas en tu mano.	Primer Bloque	Espada Sagrada	
Justa	espada_sagrada	124	124	Talisman			0	ABBAY	Destruye uno de tus Aliados y un oponente de igual fuerza.	Primer Bloque	Espada Sagrada	
El Juicio de Dios	espada_sagrada	125	125	Talisman			3	MAURICIO HERRERA	Cada jugador destruye, a su elección, 2 cartas que tenga en juego. El Juicio de Dios no afecta oros.	Primer Bloque	Espada Sagrada	
